% Graph saved at Sat Dec 07 2019 18:16:30 GMT+0100 (heure normale d’Europe centrale)
n 10.300636291503906 260.1941673501024
n 228.49683882314946 421.60193434039365
n 228.49683882314946 273.54368191320924
n 227.3892438864406 161.89319647631598
n 230.71202869656722 70.87377900058783
n 361.40821432765523 274.75727414621895
n 545.2689738213262 284.4660120102966
n 358.0854295175287 380.33979841806354
n 372.48416369474387 176.4563032724325
e 0 1 1_0
e 0 2 1_0
e 0 3 1_0
e 0 4 1_0
e 7 6 2_0
e 5 6 2_0
e 8 6 2_0
e 1 7 1_0
e 1 5 1_1
e 2 7 1_0
e 2 5 1_1
e 3 7 1_0
e 3 8 1_1
e 4 8 1_1
e 4 7 1_0
